Home Team,Away Team,Predicted Winner,Win Probability,Win Spread,Versus Book,Book Spread
HOU,BUF,BUF,0.59097475,-2.4,against,0.3
TEN,NYJ,NYJ,0.5204053,-1.4,against,2.7
IND,BAL,BAL,0.5035142,-1.2,with,-3.5
JAX,CLE,JAX,0.73999417,-6.7,with,-7.5
KC,DEN,DEN,0.5856279,-2.3,against,2.8
LV,MIA,MIA,0.6272276,-3.2,against,3.5
LAC,ARI,LAC,0.6357236,-3.4,with,-10.5
PHI,WSH,PHI,0.5670595,-2.0,with,-4.8
NYG,DAL,DAL,0.61605036,-2.9,with,-2.5
MIN,GB,GB,0.6490358,-3.7,against,0.7
DET,NO,DET,0.65460765,-3.9,with,-6.8
CAR,CHI,CHI,0.59162027,-2.4,with,-2.5
SEA,NE,SEA,0.5119781,-1.3,with,-3.5
LAR,SF,LAR,0.5395273,-1.6,with,-3.5
PIT,ATL,PIT,0.569843,-2.0,with,-3.0
CIN,TB,CIN,0.59640086,-2.5,with,-3.5
